Group,File,Solver,Number of Recursive Calls,Decision Steps
uf20,test/uf20-0569.cnf,DPLL,137,68
uf20,test/uf20-0568.cnf,DPLL,137,68
uf20,test/uf20-0567.cnf,DPLL,205,102
uf20,test/uf20-0566.cnf,DPLL,211,105
uf20,test/uf20-0565.cnf,DPLL,127,63
uf20,test/uf20-0564.cnf,DPLL,131,65
uf20,test/uf20-0563.cnf,DPLL,185,92
uf20,test/uf20-0562.cnf,DPLL,169,84
uf20,test/uf20-0561.cnf,DPLL,153,76
uf20,test/uf20-0560.cnf,DPLL,171,85
uf20,test/uf20-0559.cnf,DPLL,115,57
uf20,test/uf20-0558.cnf,DPLL,229,114
uf20,test/uf20-0557.cnf,DPLL,135,67
uf20,test/uf20-0556.cnf,DPLL,119,59
uf20,test/uf20-0555.cnf,DPLL,111,55
uf20,test/uf20-0554.cnf,DPLL,111,55
uf20,test/uf20-0553.cnf,DPLL,119,59
uf20,test/uf20-0552.cnf,DPLL,133,66
uf20,test/uf20-0551.cnf,DPLL,145,72
uf20,test/uf20-0550.cnf,DPLL,201,100
uf20,test/uf20-0549.cnf,DPLL,123,61
uf20,test/uf20-0548.cnf,DPLL,115,57
uf20,test/uf20-0547.cnf,DPLL,147,73
uf20,test/uf20-0546.cnf,DPLL,193,96
uf20,test/uf20-0545.cnf,DPLL,103,51
uf20,test/uf20-0544.cnf,DPLL,479,239
uf20,test/uf20-0543.cnf,DPLL,183,91
uf20,test/uf20-0542.cnf,DPLL,147,73
uf20,test/uf20-0541.cnf,DPLL,129,64
uf20,test/uf20-0540.cnf,DPLL,165,82
uf20,test/uf20-0539.cnf,DPLL,203,101
uf20,test/uf20-0538.cnf,DPLL,259,129
uf20,test/uf20-0537.cnf,DPLL,177,88
uf20,test/uf20-0536.cnf,DPLL,103,51
uf20,test/uf20-0535.cnf,DPLL,155,77
uf20,test/uf20-0534.cnf,DPLL,249,124
uf20,test/uf20-0533.cnf,DPLL,107,53
uf20,test/uf20-0532.cnf,DPLL,173,86
uf20,test/uf20-0531.cnf,DPLL,173,86
uf20,test/uf20-0530.cnf,DPLL,163,81
uf20,test/uf20-0529.cnf,DPLL,171,85
uf20,test/uf20-0528.cnf,DPLL,105,52
uf20,test/uf20-0527.cnf,DPLL,255,127
uf20,test/uf20-0526.cnf,DPLL,129,64
uf20,test/uf20-0525.cnf,DPLL,235,117
uf20,test/uf20-0524.cnf,DPLL,95,47
uf20,test/uf20-0523.cnf,DPLL,203,101
uf20,test/uf20-0522.cnf,DPLL,205,102
uf20,test/uf20-0521.cnf,DPLL,139,69
uf20,test/uf20-0520.cnf,DPLL,137,68
uf20,test/uf20-0519.cnf,DPLL,77,38
uf20,test/uf20-0518.cnf,DPLL,103,51
uf20,test/uf20-0517.cnf,DPLL,207,103
uf20,test/uf20-0516.cnf,DPLL,145,72
uf20,test/uf20-0515.cnf,DPLL,153,76
uf20,test/uf20-0514.cnf,DPLL,143,71
uf20,test/uf20-0513.cnf,DPLL,305,152
uf20,test/uf20-0512.cnf,DPLL,171,85
uf20,test/uf20-0511.cnf,DPLL,165,82
uf20,test/uf20-0510.cnf,DPLL,155,77
uf20,test/uf20-0509.cnf,DPLL,243,121
uf20,test/uf20-0508.cnf,DPLL,185,92
uf20,test/uf20-0507.cnf,DPLL,163,81
uf20,test/uf20-0506.cnf,DPLL,99,49
uf20,test/uf20-0505.cnf,DPLL,147,73
uf20,test/uf20-0504.cnf,DPLL,185,92
uf20,test/uf20-0503.cnf,DPLL,137,68
uf20,test/uf20-0502.cnf,DPLL,145,72
uf20,test/uf20-0501.cnf,DPLL,199,99
uf20,test/uf20-0500.cnf,DPLL,175,87
uf20,test/uf20-0499.cnf,DPLL,153,76
uf20,test/uf20-0498.cnf,DPLL,219,109
uf20,test/uf20-0497.cnf,DPLL,163,81
uf20,test/uf20-0496.cnf,DPLL,105,52
uf20,test/uf20-0495.cnf,DPLL,187,93
uf20,test/uf20-0494.cnf,DPLL,143,71
uf20,test/uf20-0493.cnf,DPLL,223,111
uf20,test/uf20-0492.cnf,DPLL,193,96
uf20,test/uf20-0491.cnf,DPLL,137,68
uf20,test/uf20-0490.cnf,DPLL,227,113
uf20,test/uf20-0489.cnf,DPLL,215,107
uf20,test/uf20-0488.cnf,DPLL,91,45
uf20,test/uf20-0487.cnf,DPLL,137,68
uf20,test/uf20-0486.cnf,DPLL,131,65
uf20,test/uf20-0485.cnf,DPLL,175,87
uf20,test/uf20-0484.cnf,DPLL,213,106
uf20,test/uf20-0483.cnf,DPLL,241,120
uf20,test/uf20-0482.cnf,DPLL,243,121
uf20,test/uf20-0481.cnf,DPLL,151,75
uf20,test/uf20-0480.cnf,DPLL,155,77
uf20,test/uf20-0479.cnf,DPLL,201,100
uf20,test/uf20-0478.cnf,DPLL,125,62
uf20,test/uf20-0477.cnf,DPLL,137,68
uf20,test/uf20-0476.cnf,DPLL,131,65
uf20,test/uf20-0475.cnf,DPLL,105,52
uf20,test/uf20-0474.cnf,DPLL,89,44
uf20,test/uf20-0473.cnf,DPLL,149,74
uf20,test/uf20-0472.cnf,DPLL,127,63
uf20,test/uf20-0471.cnf,DPLL,227,113
uf20,test/uf20-0470.cnf,DPLL,147,73
uf20,test/uf20-0469.cnf,DPLL,171,85
uf20,test/uf20-0468.cnf,DPLL,203,101
uf20,test/uf20-0467.cnf,DPLL,205,102
