Group,File,Solver,Result,Time,AllocBytes(KB),instances,clause-len,vars,clauses
uf20,test/uf20-0785.cnf,DPLL,True,0.005474200,2586.72,1000,3,20,91
uf20,test/uf20-0784.cnf,DPLL,True,0.004877700,1972.50,1000,3,20,91
uf20,test/uf20-0783.cnf,DPLL,True,0.003339200,1302.57,1000,3,20,91
uf20,test/uf20-0782.cnf,DPLL,True,0.004578600,1823.16,1000,3,20,91
uf20,test/uf20-0781.cnf,DPLL,True,0.006979400,541.62,1000,3,20,91
uf20,test/uf20-0780.cnf,DPLL,True,0.005204300,1644.62,1000,3,20,91
uf20,test/uf20-0779.cnf,DPLL,True,0.004342200,2535.90,1000,3,20,91
uf20,test/uf20-0778.cnf,DPLL,True,0.005056600,420.54,1000,3,20,91
uf20,test/uf20-0777.cnf,DPLL,True,0.005891400,3882.23,1000,3,20,91
uf20,test/uf20-0776.cnf,DPLL,True,0.004945500,1731.27,1000,3,20,91
uf20,test/uf20-0775.cnf,DPLL,True,0.004765500,1431.38,1000,3,20,91
uf20,test/uf20-0774.cnf,DPLL,True,0.006316000,1438.60,1000,3,20,91
uf20,test/uf20-0773.cnf,DPLL,True,0.004449900,635.09,1000,3,20,91
uf20,test/uf20-0772.cnf,DPLL,True,0.003624000,3377.27,1000,3,20,91
uf20,test/uf20-0771.cnf,DPLL,True,0.004781200,961.98,1000,3,20,91
uf20,test/uf20-0770.cnf,DPLL,True,0.006560000,947.91,1000,3,20,91
uf20,test/uf20-0769.cnf,DPLL,True,0.003771000,3403.12,1000,3,20,91
uf20,test/uf20-0768.cnf,DPLL,True,0.006337400,3870.17,1000,3,20,91
uf20,test/uf20-0767.cnf,DPLL,True,0.005341100,1657.41,1000,3,20,91
uf20,test/uf20-0766.cnf,DPLL,True,0.004864100,1408.84,1000,3,20,91
uf20,test/uf20-0765.cnf,DPLL,True,0.007652000,2468.60,1000,3,20,91
uf20,test/uf20-0764.cnf,DPLL,True,0.013428800,3583.64,1000,3,20,91
uf20,test/uf20-0763.cnf,DPLL,True,0.014419300,3870.92,1000,3,20,91
uf20,test/uf20-0762.cnf,DPLL,True,0.007129800,3899.56,1000,3,20,91
uf20,test/uf20-0761.cnf,DPLL,True,0.004448800,4008.74,1000,3,20,91
uf20,test/uf20-0760.cnf,DPLL,True,0.003801500,2656.98,1000,3,20,91
uf20,test/uf20-0759.cnf,DPLL,True,0.005114800,3105.62,1000,3,20,91
uf20,test/uf20-0758.cnf,DPLL,True,0.004588000,3418.74,1000,3,20,91
uf20,test/uf20-0757.cnf,DPLL,True,0.003237500,1740.25,1000,3,20,91
uf20,test/uf20-0756.cnf,DPLL,True,0.003588200,2387.75,1000,3,20,91
uf20,test/uf20-0755.cnf,DPLL,True,0.009132100,3658.57,1000,3,20,91
uf20,test/uf20-0754.cnf,DPLL,True,0.005346400,735.42,1000,3,20,91
uf20,test/uf20-0753.cnf,DPLL,True,0.004021400,3256.77,1000,3,20,91
uf20,test/uf20-0752.cnf,DPLL,True,0.003792600,2909.65,1000,3,20,91
uf20,test/uf20-0751.cnf,DPLL,True,0.005134900,1044.26,1000,3,20,91
uf20,test/uf20-0750.cnf,DPLL,True,0.004022800,1371.10,1000,3,20,91
uf20,test/uf20-0749.cnf,DPLL,True,0.004796800,347.38,1000,3,20,91
uf20,test/uf20-0748.cnf,DPLL,True,0.005693300,1329.24,1000,3,20,91
uf20,test/uf20-0747.cnf,DPLL,True,0.005206100,3955.53,1000,3,20,91
uf20,test/uf20-0746.cnf,DPLL,True,0.004807900,936.91,1000,3,20,91
uf20,test/uf20-0745.cnf,DPLL,True,0.006968600,1040.84,1000,3,20,91
uf20,test/uf20-0744.cnf,DPLL,True,0.004859300,244.88,1000,3,20,91
uf20,test/uf20-0743.cnf,DPLL,True,0.006259400,1825.30,1000,3,20,91
uf20,test/uf20-0742.cnf,DPLL,True,0.004489500,3253.15,1000,3,20,91
uf20,test/uf20-0741.cnf,DPLL,True,0.005921200,1380.16,1000,3,20,91
uf20,test/uf20-0740.cnf,DPLL,True,0.003767400,3478.66,1000,3,20,91
uf20,test/uf20-0739.cnf,DPLL,True,0.003838700,3389.07,1000,3,20,91
uf20,test/uf20-0738.cnf,DPLL,True,0.004100200,2305.05,1000,3,20,91
uf20,test/uf20-0737.cnf,DPLL,True,0.005961200,1544.44,1000,3,20,91
uf20,test/uf20-0736.cnf,DPLL,True,0.006103200,2623.81,1000,3,20,91
uf20,test/uf20-0735.cnf,DPLL,True,0.005376400,674.06,1000,3,20,91
uf20,test/uf20-0734.cnf,DPLL,True,0.003616900,1571.91,1000,3,20,91
uf20,test/uf20-0733.cnf,DPLL,True,0.004212200,1879.09,1000,3,20,91
uf20,test/uf20-0732.cnf,DPLL,True,0.008516300,457.48,1000,3,20,91
uf20,test/uf20-0731.cnf,DPLL,True,0.005079500,2335.77,1000,3,20,91
uf20,test/uf20-0730.cnf,DPLL,True,0.004412800,2733.88,1000,3,20,91
uf20,test/uf20-0729.cnf,DPLL,True,0.005966400,3185.57,1000,3,20,91
uf20,test/uf20-0728.cnf,DPLL,True,0.004545000,3018.36,1000,3,20,91
uf20,test/uf20-0727.cnf,DPLL,True,0.005958800,2830.05,1000,3,20,91
uf20,test/uf20-0726.cnf,DPLL,True,0.005435000,888.01,1000,3,20,91
uf20,test/uf20-0725.cnf,DPLL,True,0.005997100,2376.05,1000,3,20,91
uf20,test/uf20-0724.cnf,DPLL,True,0.004150100,3904.32,1000,3,20,91
uf20,test/uf20-0723.cnf,DPLL,True,0.006204300,2781.13,1000,3,20,91
uf20,test/uf20-0722.cnf,DPLL,True,0.005170600,145.21,1000,3,20,91
uf20,test/uf20-0721.cnf,DPLL,True,0.004731800,3858.18,1000,3,20,91
uf20,test/uf20-0720.cnf,DPLL,True,0.005675900,1479.95,1000,3,20,91
uf20,test/uf20-0719.cnf,DPLL,True,0.004095700,1943.81,1000,3,20,91
uf20,test/uf20-0718.cnf,DPLL,True,0.005516500,1632.87,1000,3,20,91
uf20,test/uf20-0717.cnf,DPLL,True,0.006915200,699.08,1000,3,20,91
uf20,test/uf20-0716.cnf,DPLL,True,0.004176700,2589.38,1000,3,20,91
uf20,test/uf20-0715.cnf,DPLL,True,0.005228300,2123.95,1000,3,20,91
uf20,test/uf20-0714.cnf,DPLL,True,0.004707500,3260.88,1000,3,20,91
uf20,test/uf20-0713.cnf,DPLL,True,0.005027500,3585.79,1000,3,20,91
uf20,test/uf20-0712.cnf,DPLL,True,0.005315200,983.23,1000,3,20,91
uf20,test/uf20-0711.cnf,DPLL,True,0.006201800,2574.18,1000,3,20,91
uf20,test/uf20-0710.cnf,DPLL,True,0.004164800,3386.05,1000,3,20,91
uf20,test/uf20-0709.cnf,DPLL,True,0.004774000,3753.90,1000,3,20,91
uf20,test/uf20-0708.cnf,DPLL,True,0.005445000,786.08,1000,3,20,91
uf20,test/uf20-0707.cnf,DPLL,True,0.005760200,2396.87,1000,3,20,91
uf20,test/uf20-0706.cnf,DPLL,True,0.004422800,3513.19,1000,3,20,91
uf20,test/uf20-0705.cnf,DPLL,True,0.007866200,724.06,1000,3,20,91
uf20,test/uf20-0704.cnf,DPLL,True,0.006699600,566.90,1000,3,20,91
uf20,test/uf20-0703.cnf,DPLL,True,0.006084600,3902.22,1000,3,20,91
uf20,test/uf20-0702.cnf,DPLL,True,0.007729800,1734.77,1000,3,20,91
uf20,test/uf20-0701.cnf,DPLL,True,0.006118000,2965.56,1000,3,20,91
uf20,test/uf20-0700.cnf,DPLL,True,0.003239300,1353.02,1000,3,20,91
